Isomer_Name,Full_Algebraic_Signature
CCCCC(C)CC1CCC1.CC(C)C,124DA0788A7120D2A361A00F6199827B937C19EC27AE80A8061BFE3FE00BFECC124DA0788A7120D2A361A00F6199827B937C19EC27AE80A8061BFE3FE00BFECC288540D8198A9DA418C9EB3CBF5098EA66601498C66DC020B7461C3BE8B92F213F1A3CD795359748E91393384C5843D46E7BD2004A51384B0FFFAA7F878F2D756A6B832ACFABAF59A139E6A6B92454C13E5E7B9E91B2E1AE253C11CC33FC980F8095E86B613E245C3BA303C05C06A7A4BDB542F005ADB95085AA195EBADB79B695C20D78C234222D6B2A97A404E564FB29FB29FCC7BD8A07F243DBBBEDC7E9D698824923E6EEBA03867D06553C7C859ED2A57DFB9811DB7C714FE1B8845FC3239FF8989A09F78A539EA22C93288A761D129B430218FBC6502E04B4E6FE8D7F23BBE479BBD442BDD3C0B8EA4DA49AA25D60E92B08C83220096B0689E866787488BBE479BBD442BDD3C0B8EA4DA49AA25D60E92B08C83220096B0689E866787488BBE479BBD442BDD3C0B8EA4DA49AA25D60E92B08C83220096B0689E866787488C0C2DB3B94E007687D14180185DEA47EE11A06D613AA360509CA3B70BED165F0DDF57EA6A9052A41E783ABA4D9D68106664CCD0E918F790BB8B52CC3D508A95DE251E9CDC14DDC50F3E46D8F609CF1962770D8F2F20DD1CC7FFAFC0EC39C8CD3
CC(C)C(C)(C)CC(C)C(C)C(C)(C)C,0580EA93E629CD8F96D6266A390A0AEF560F21429CF9A9CC82A908BAC9AEF56A0580EA93E629CD8F96D6266A390A0AEF560F21429CF9A9CC82A908BAC9AEF56A5E82CA5264C9E42BB2032E781EDDC7D10F2BBAF91B840B415685614391A9063B5E82CA5264C9E42BB2032E781EDDC7D10F2BBAF91B840B415685614391A9063B5F5064061E08999E6215D8C5A0C5D251BD55A677173646E7F91FC89B84D58A3A5F5064061E08999E6215D8C5A0C5D251BD55A677173646E7F91FC89B84D58A3A5F5064061E08999E6215D8C5A0C5D251BD55A677173646E7F91FC89B84D58A3A64C3A1DED4837398F552F696E284FB9D45FE68234C8E54C7D6C37CCA8231700FB910D7BC10509142F542DD8CEC789E8D82B396E25A0934A82B4B0C2F31F23143C4441EDFBE6B149302BE989B64B8D6A49CBDED215E9B3110253C9B2E20A571D3C993718D1B1BEE375ADFA7B42BC20B4CED6DD004EFD92F6464564936239B0CAEC9FD11D8CD6BA81AE65ECE1608C2A87AC381DBA7A799B8A8B1C66A0196BCD1C0CD88EF1D84D8C7E0A8903D8DEA0F64DA70EAD81B1871F31B944A552341D88998D3CA3DFF19FA159079555F35686D2DF31CC28C31E0DC6E998657FEFDFC2323A9EDA5F3FDB4C9C475DF431F3FAF7BF478B57FAB2BE4D13671947061DEC94DB585
CCCC(C(C)CC)C(C)(C)CC(C)C,1A9D5402984493ADE4C45E49C4D3192B5CF4DA741691099E9D558FF67761298022F2007755A86A1D03D822A8A3F3749CC86BEA665320CCE492204BF8A7D0019D22F2007755A86A1D03D822A8A3F3749CC86BEA665320CCE492204BF8A7D0019D25DE2A21BBBCC0287886EB980C9C5E74AD254AA53E7850049A15F4E3EB7C13432B92576B490BCBBF8878ECE533994A02281E5B3D14440D44F94B44FDFE6B87DE4CC4C5D7923633979A894F5E5EEF076524846009F5D29DB6414468A5BEA72008574DDBDD5CF3AEC7F727468A3979320343D8BE798F4477D18C6620A78738FF66574DDBDD5CF3AEC7F727468A3979320343D8BE798F4477D18C6620A78738FF665772D1AD88FCABBBB0725D46E16CA4359DBFF279A90F57A381782967C4D816315B293AB1570683114B5D3349445D5B430E1560A382D0D7C9C3DE6D2AD7E0D9416292DE9FF4495E63897CE7D4F266F9FCB43F739A52D4A9807A9708C4A3DCC65D64F1AC5F6D6DAF26E9350679692D3806BE83F05BAFF2AE0D23CDAFCA7FA9B118A6E9D0EC4B2DFC885AE8F6822189FC4CF757F6DDEBFD8AE48CF182F9DE451C14EB8A94AB3AF29761B6665D5B979C370955AD669FDE80360F8DBAFE9389402AC2F7C32C00F20809D8A1E9C00951FC7B3B994D9EED9C870E5C2C847207E68C6721
CCCCC(C)(C)C(C)CC(CC)CC,07B4EC4C1B08259BB82E89848EC065C39491C61E58664BD0DCFC10B6CF2A264B26276F95AE6039290EEE7BFD19345A80DFBE754D0912267593C02CA50B0DCE464F7E4F390300FDE772D54ACCF28EDC4B3D75EAA09DC4CC32E5499E1CFC7E167461AF91EDF2A78DAABC217098BDD4B1F8557EE920C83441970CC5EDAAE295481061AF91EDF2A78DAABC217098BDD4B1F8557EE920C83441970CC5EDAAE2954810786D038F4C638C0195AE2EAF23D03D1DD627C068E05E9D809C0993BEF2F7D5007AE3C956BEEB3E9FBB0C02948FBF9AA73D763D3D906A71B5FFA61935324B20E67AE3C956BEEB3E9FBB0C02948FBF9AA73D763D3D906A71B5FFA61935324B20E68D2920668903341E89A1E5FFAE5CC2AAC1626460489289660C04208F4FD21CD99EBEA32A7B1DBEDEA6797A6764E982CA86C7821AF10C0A649D51635A0207EAF49F72A376D4574DA7C58AFA9B2D44640780CC159752B5330A1873F75D7B459F0DB60EE227B3B0AF5D1D26AF76114CA1AED8F731DB3F8DD678854572DC2DD411E4B6D976E7BF79F0C869F2AF3D08AD3CB67558A96D641A230C98E54A82436B0765B6D976E7BF79F0C869F2AF3D08AD3CB67558A96D641A230C98E54A82436B0765DBB499065D5741EDEE60106975EFFCA72D35BE0B6E9FB80A968F00DE64C7B1B7
CCC(C)CC(C)C(C)CC(C)C(C)C,21A399F11FB78714EF4F461A6711683AD2C93EA48F4BA91C48639A5B73472D502FC1E7B99DE541C87F7D5B16DA39D9873A7BB99EDA4E89BEFAAE6C630295F92E4A9B9B31AA8424CA1E5B75C2C3FEA1B2574AF59B5286E39528CDB03FCC7E662A4A9B9B31AA8424CA1E5B75C2C3FEA1B2574AF59B5286E39528CDB03FCC7E662A4EFEEBA6CAD1C2C0FFADDEA4E263922C4A7E1AEB80934E26ED2E3B599E80CEE857AE7A2321D3E37C17B8A7783AEF625E9FFBAD54213A85495C13C2B32E20C63A5B67A73025DFEDA3E9A28D9D941A5E50E2AE33C3985368131A66109A1B9ADAB95DC4A34C311C0DE99F29FC35A74B3FE9252A26C0F0675C0E40950244FD45953460822DBB825983F260DEC1A9816FA2CBFC7AD237C1D5BD1B184E90E76241BE396CAAB3E21F0321A53525A6468F3884FC0A2EFD8754FB89485A7ECC8917E55AF987FA55F827F3073DC6521077EA20DA0013AD8BDBD8701DD409FE02730E5B7203890CAB23576809C0F37460C03C23F924EBCC63FC6DA3FB3309318EC9F3BD101BDD66AAA4BCBEE17C9644E0D9F59F68C004A10866E130C2908E2B261DEE51BAC9E98E16AC1D8810A9DA4EFC05F00BD18B87A9247AE36CF7B9800D0D922224256AFAEC9A30E7B7A659B5A9021928CC50203697FA87DE88B03C8146CACB51A9BDE6
CCCCC(C)C(C)CC(C)(C)C(C)C,2899AB808DE3074458CAA3C5DDAD29578EEA6E9DFF8EA7C5453E38747C278F98412158C15DE32EE8F74965D64E372C2CD6F9805AEA185725FB27D41177373F7E553543B5595665AFE8650C6568AD53BDC76CA84079973D7A97D66D2B717E1417553543B5595665AFE8650C6568AD53BDC76CA84079973D7A97D66D2B717E1417607CE4B59147B56F72D208C2662794A054B2591E2D295A3CD6E7BA65721F2CD06201B6AD962B36679B9385DB0F8A9537D5F59D6B37E1AC9394C35EEC6F84413B7B22B8EBBF41293EB9ADDA432641F4D5281F4F506A10EFD58831A6A14A3E073D82E45056CD242B3FA8F8DB67E8DB47F2E3DFFD120C59789EEFCF5050EC0DCF098C030A209AD3AF782E56597EC7C6A20BB6C0A55DD84B35CE64AECB9464F3C971A53C98838B6A61725C6F20DED987E30DA17AB97D3DAF7E0E5B49A2CC8197766AA733C48C3587D3BA789B2344B2A8647D8AC8F608AC252998727A1A18BA6E81D4A733C48C3587D3BA789B2344B2A8647D8AC8F608AC252998727A1A18BA6E81D4AA4D9858E05B53BC2330D69424DF187C88B35ACEE032ED1789BCC24EC9B7620EAFA5135C4BE8468F6A86D6E6B3D756A61C04BA2D6B654D577C3C4D96A094380AF8B0C7618F53C0071342BAA3753A9BADA2DA6ABE76D099BD6DFF4D95B73CE0FF
CC.CC.CCC=CC.CC=CC=CC,1379F0C6A4B488B876530EE1D1CFFFCF74335E815D6010FD1699ABC77FF9855518613EB81FFCC3FF8CCCEEB7A70C13835A1CD0FAF815F43D7EB17A99AF35B93C3053E541E5DACB34AE827F08D65790CD7E64BEA6D534DC07F2E14B693910B3DD3D6C211B9B6AE950ECF1351F9E265F443725AAAE34EED7BDD847661D3BDC921E3D6C211B9B6AE950ECF1351F9E265F443725AAAE34EED7BDD847661D3BDC921E49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE7F1542B1BBE9624B1E4A9ABE160C33AE64DDEDF65AE2AC735EB3443D25AB3D0E9A77820213E8BC1F4E7A24511661EA6B350DE256F3A2F90493CB64F2482301C49A77820213E8BC1F4E7A24511661EA6B350DE256F3A2F90493CB64F2482301C49ADAA72F2C69728FB337375D5E5D959FC5A0D993CA06CA6FB0411C6BFB600DDE9ADAA72F2C69728FB337375D5E5D959FC5A0D993CA06CA6FB0411C6BFB600DDE9F991EABED2D9E8EA1494A6125A714C1C93E8EEB3483207C35B4CF4A919349AF
CCCC(C)(CC(C)(C)C)CC(C)(C)C,200695B6CF2C184990AAC66F27BADCA15F93DF08A668F3374DC6B38896030D4F51726EEE2C5AFB3B2E8F20B6DBB55A8BD5A88B9C482A12BF158E5CA597441CFE59E313AD3A38DF0582594BFCB36DAD616C988D12C7133508F29246A79DC00C9A59E313AD3A38DF0582594BFCB36DAD616C988D12C7133508F29246A79DC00C9A59E313AD3A38DF0582594BFCB36DAD616C988D12C7133508F29246A79DC00C9A59E313AD3A38DF0582594BFCB36DAD616C988D12C7133508F29246A79DC00C9A59E313AD3A38DF0582594BFCB36DAD616C988D12C7133508F29246A79DC00C9A59E313AD3A38DF0582594BFCB36DAD616C988D12C7133508F29246A79DC00C9A70FBD0C875BF872927CEE3AC1B8643CE1133D7438127132D16DD921DA33C96CF7DEEB17668FFDCF42C0B18B0DB2983DD2BFBACAECE6621E06DA782C4BB36E88A8349B3D5729C65E1B002B0325574E2E591F184F5A3CA3D55D762FF570001046E9CA03166353672F295D86A0251722099E619FC0985169B6F616667088B24473C9CA03166353672F295D86A0251722099E619FC0985169B6F616667088B24473CAD64F3E5438F86030DF11B7568E33AAF87C9A5E3E31CD7B4D7E8D92011EF4FA7AD64F3E5438F86030DF11B7568E33AAF87C9A5E3E31CD7B4D7E8D92011EF4FA7
CCC(CC)C(C)CC(C)C(C)C(C)C,0F74F05BFCAB7F5E5206C5C9B68C5F9B31D00C9B252AB57BDBAFEF30431C4A6A17BBAE9D30CC3AABEFFED996A1C1F724ED2EFB33373A616A100C421D6198695A45FDE24423BD938DD77ADDC3F831A74C9C9721603280FF5146D3C8DD92C88BFA48F77FA83A85FE5A6446293B271425504D223EE3F17EE03183C2FD20221C05F748F77FA83A85FE5A6446293B271425504D223EE3F17EE03183C2FD20221C05F75212C7F22FF728494C0D0B993F03A0A498E61CB6AE0B0A54BD015B5060F23BCC9664790E507826419DA1CFEDC4835367AB3B01C8E07FC086A0C5767D156B8BC69664790E507826419DA1CFEDC4835367AB3B01C8E07FC086A0C5767D156B8BC69D53A2E7CBD8525CDCFBC44218F855FB13D13118CFA4F08C7210421BFACC805ABC25CDFC7F660A63443F0D2AD0EA0F67DADECA92AF524E75CC521FF1C28B0DD5C13145DDFC40244A1BF07D27B3CAC1814FC79491E6AA1DE7956CA8C3E7B52538C13145DDFC40244A1BF07D27B3CAC1814FC79491E6AA1DE7956CA8C3E7B52538CC724E76001DDB6456C2201F0D6011CEEB83A3320B7A96E41DC26F474912FAE8D28540BBDB90CEDC5F5AC510C8571E62FA0C16BB1080D2D61C49C1B45C8D3C27FA129CCF5677672BF5E5D744F269BEB06EB6E8E46C13A75D5177B2BEB7821059
CCCCCC(CCC)C(CC)C(C)C,002DC287C0DFDC1ABC96246BF495D7A74BACF9C11FBCD4D5C8C6C5C9D31AC1622322AD30D7F6AF218EDB6849FB6C7F7A8BDDBA319F136F0D6428AB98B9AF431B244AECD5FDC06A1035DB9E9AFC39AD015BCF63270F8732945AE01CA915D70E3332D6F9F81BDAF15C2F20131772626E2AC70377E9A6BBC3D54D7EDC556C0863AB3B919F836A73902AF87A846CF2308C439AC78CD8F44E4DB43C733DD4EDE7395B493E077163A47C0C083F6CE440B65A65BD8E9C98FAF22CBFEA93AC51849EA1F1493E077163A47C0C083F6CE440B65A65BD8E9C98FAF22CBFEA93AC51849EA1F1540092F1E7423C472A831C8776A0037FBDB160EB147A6EA42A22628026F2C759590700ECBE5C11605FC6925DC14E3F7398EA92938399EA20ADCC060B8CDFE9DE6A0FB1A836FC511F3E276B72F76A11B1062440B8E0433F84C779F7791D8260D0951D674D666F07D50F519EB0B41F23129496BBBA469F848F5D59C4F68F618A47C5597199BD22A5C1D0F5B811E7DF7DBD6BC55D28B593FE080128795EF536665FCAB3DF7B268ACAD2B0F3A9F8ED86C2F14E05BB53B445012A01EE96374390D7B0EF3400AAFC237CFD76B44BA633C79ECF39C95363BD97806C209654347B5E2809FED09B195B0DB70B5B9F97E68C8B32AF84E459F0233412A94AB2B5BE5A808F0D
