Query_ID,Frequency_Bin,V,E,L1_Latency_us,FPR_Pct
Bin1_Q1,1,8,7,4656,0.000000
Bin1_Q2,1,9,8,4664,0.000000
Bin1_Q3,1,7,6,4721,0.000000
Bin1_Q4,1,8,7,4571,0.000000
Bin1_Q5,1,9,8,4701,0.000000
Bin1_Q6,1,7,6,4558,0.000000
Bin1_Q7,1,8,7,4601,0.000000
Bin1_Q8,1,9,8,4517,0.000000
Bin1_Q9,1,7,6,4563,0.000000
Bin1_Q10,1,8,7,4500,0.000000
Bin2_Q1,2,10,10,4596,0.000000
Bin2_Q2,2,11,11,4461,0.000000
Bin2_Q3,2,9,9,4662,0.000000
Bin2_Q4,2,10,10,4474,0.000000
Bin2_Q5,2,11,11,4577,0.000000
Bin2_Q6,2,9,9,4505,0.000000
Bin2_Q7,2,10,10,4545,0.000000
Bin2_Q8,2,11,11,4459,0.000000
Bin2_Q9,2,9,9,4561,0.000000
Bin2_Q10,2,10,10,4445,0.000000
Bin3_Q1,3,12,12,4532,0.000000
Bin3_Q2,3,13,13,4484,0.000000
Bin3_Q3,3,11,11,4504,0.000000
Bin3_Q4,3,12,12,4442,0.000000
Bin3_Q5,3,13,13,4484,0.000000
Bin3_Q6,3,11,11,4390,0.000000
Bin3_Q7,3,12,12,4438,0.000000
Bin3_Q8,3,13,13,4363,0.000000
Bin3_Q9,3,11,11,4423,0.000000
Bin3_Q10,3,12,12,4354,0.000000
Bin4_Q1,4,14,15,4384,0.000000
Bin4_Q2,4,15,16,4319,0.000000
Bin4_Q3,4,13,14,4361,0.000000
Bin4_Q4,4,14,15,4287,0.000000
Bin4_Q5,4,15,16,4332,0.000000
Bin4_Q6,4,13,14,4337,0.000000
Bin4_Q7,4,14,15,4398,0.000000
Bin4_Q8,4,15,16,4253,0.000000
Bin4_Q9,4,13,14,4398,0.000000
Bin4_Q10,4,14,15,4267,0.000000
Bin5_Q1,5,16,17,4394,0.000000
Bin5_Q2,5,17,18,4334,0.000000
Bin5_Q3,5,15,16,4396,0.000000
Bin5_Q4,5,16,17,4295,0.000000
Bin5_Q5,5,17,18,4332,0.000000
Bin5_Q6,5,15,16,4386,0.000000
Bin5_Q7,5,16,17,4300,0.000000
Bin5_Q8,5,17,18,4354,0.000000
Bin5_Q9,5,15,16,4318,0.000000
Bin5_Q10,5,16,17,4440,0.000000
Bin6_Q1,6,18,20,4293,0.000000
Bin6_Q2,6,19,21,4374,0.000000
Bin6_Q3,6,17,19,4295,0.000000
Bin6_Q4,6,18,20,4224,0.000000
Bin6_Q5,6,19,21,4148,0.000000
Bin6_Q6,6,17,19,4215,0.000000
Bin6_Q7,6,18,20,4127,0.000000
Bin6_Q8,6,19,21,4157,0.000000
Bin6_Q9,6,17,19,4164,0.000000
Bin6_Q10,6,18,20,4170,0.000000
Bin7_Q1,7,20,22,4151,0.000000
Bin7_Q2,7,21,23,4145,0.000000
Bin7_Q3,7,19,21,4164,0.000000
Bin7_Q4,7,20,22,4153,0.000000
Bin7_Q5,7,21,23,4158,0.000000
Bin7_Q6,7,19,21,4161,0.000000
Bin7_Q7,7,20,22,4381,0.000000
Bin7_Q8,7,21,23,4363,0.000000
Bin7_Q9,7,19,21,4355,0.000000
Bin7_Q10,7,20,22,4355,0.000000
Bin8_Q1,8,22,25,4408,0.000000
Bin8_Q2,8,23,26,4257,0.000000
Bin8_Q3,8,21,24,4267,0.000000
Bin8_Q4,8,22,25,4259,0.000000
Bin8_Q5,8,23,26,4253,0.000000
Bin8_Q6,8,21,24,4287,0.000000
Bin8_Q7,8,22,25,4229,0.000000
Bin8_Q8,8,23,26,4284,0.000000
Bin8_Q9,8,21,24,4254,0.000000
Bin8_Q10,8,22,25,4247,0.000000
Bin9_Q1,9,24,27,4274,0.000000
Bin9_Q2,9,25,28,4241,0.000000
Bin9_Q3,9,23,26,4216,0.000000
Bin9_Q4,9,24,27,4224,0.000000
Bin9_Q5,9,25,28,4156,0.000000
Bin9_Q6,9,23,26,4158,0.000000
Bin9_Q7,9,24,27,4117,0.000000
Bin9_Q8,9,25,28,4085,0.000000
Bin9_Q9,9,23,26,4082,0.000000
Bin9_Q10,9,24,27,4074,0.000000
Bin10_Q1,10,26,30,4219,0.000000
Bin10_Q2,10,27,31,4286,0.000000
Bin10_Q3,10,25,29,4423,0.000000
Bin10_Q4,10,26,30,4323,0.000000
Bin10_Q5,10,27,31,4315,0.000000
Bin10_Q6,10,25,29,4313,0.000000
Bin10_Q7,10,26,30,4284,0.000000
Bin10_Q8,10,27,31,4309,0.000000
Bin10_Q9,10,25,29,4243,0.000000
Bin10_Q10,10,26,30,4282,0.000000
