Query_Type,D,V,Bits_Saturated,L1_Rejection_Rate,FPR_Pct
Linear_Chain,2,2,3,100.000000,0.000000
Linear_Chain,4,4,7,100.000000,0.000000
Linear_Chain,6,6,7,100.000000,0.000000
Linear_Chain,8,8,7,100.000000,0.000000
Linear_Chain,10,10,7,100.000000,0.000000
Linear_Chain,12,12,7,100.000000,0.000000
Linear_Chain,14,14,7,100.000000,0.000000
Linear_Chain,16,16,7,100.000000,0.000000
Linear_Chain,18,18,7,100.000000,0.000000
Linear_Chain,20,20,7,100.000000,0.000000
Linear_Chain,22,22,7,100.000000,0.000000
Linear_Chain,24,24,7,100.000000,0.000000
Linear_Chain,26,26,7,100.000000,0.000000
Linear_Chain,28,28,7,100.000000,0.000000
Linear_Chain,30,30,7,100.000000,0.000000
Linear_Chain,32,32,7,100.000000,0.000000
Linear_Chain,34,34,7,100.000000,0.000000
Linear_Chain,36,36,7,100.000000,0.000000
Linear_Chain,38,38,7,100.000000,0.000000
Linear_Chain,40,40,7,100.000000,0.000000
Linear_Chain,42,42,7,100.000000,0.000000
Linear_Chain,44,44,7,100.000000,0.000000
Linear_Chain,46,46,7,100.000000,0.000000
Linear_Chain,48,48,7,100.000000,0.000000
Linear_Chain,50,50,7,100.000000,0.000000
Linear_Chain,52,52,7,100.000000,0.000000
Linear_Chain,54,54,7,100.000000,0.000000
Linear_Chain,56,56,7,100.000000,0.000000
Linear_Chain,58,58,7,100.000000,0.000000
Linear_Chain,60,60,7,100.000000,0.000000
Macrocycle,3,3,5,100.000000,0.000000
Macrocycle,5,5,5,100.000000,0.000000
Macrocycle,7,7,5,100.000000,0.000000
Macrocycle,9,9,5,100.000000,0.000000
Macrocycle,11,11,5,100.000000,0.000000
Macrocycle,13,13,5,100.000000,0.000000
Macrocycle,15,15,5,100.000000,0.000000
Macrocycle,17,17,5,100.000000,0.000000
Macrocycle,19,19,5,100.000000,0.000000
Macrocycle,21,21,5,100.000000,0.000000
Macrocycle,23,23,5,100.000000,0.000000
Macrocycle,25,25,5,100.000000,0.000000
Macrocycle,27,27,5,100.000000,0.000000
Macrocycle,29,29,5,100.000000,0.000000
Macrocycle,31,31,5,100.000000,0.000000
Macrocycle,33,33,5,100.000000,0.000000
Macrocycle,35,35,5,100.000000,0.000000
Macrocycle,37,37,5,100.000000,0.000000
Macrocycle,39,39,5,100.000000,0.000000
