Mutation_Type,P_Density,True_Positives_Passed
Sliding_Nitrogen_Pos_0,N/A,0
Sliding_Nitrogen_Pos_1,N/A,0
Sliding_Nitrogen_Pos_2,N/A,0
Sliding_Nitrogen_Pos_3,N/A,0
Sliding_Nitrogen_Pos_4,N/A,0
Sliding_Nitrogen_Pos_5,N/A,0
Sliding_Nitrogen_Pos_6,N/A,0
Sliding_Nitrogen_Pos_7,N/A,0
Sliding_Nitrogen_Pos_8,N/A,0
Sliding_Nitrogen_Pos_9,N/A,0
Sliding_Nitrogen_Pos_10,N/A,0
Sliding_Nitrogen_Pos_11,N/A,0
Sliding_Nitrogen_Pos_12,N/A,0
Sliding_Nitrogen_Pos_13,N/A,0
Sliding_Nitrogen_Pos_14,N/A,0
Sliding_Nitrogen_Pos_15,N/A,0
Sliding_Nitrogen_Pos_16,N/A,0
Erdos_Renyi_Alien,0.05,0
Erdos_Renyi_Alien,0.10,0
Erdos_Renyi_Alien,0.15,0
Erdos_Renyi_Alien,0.20,0
Erdos_Renyi_Alien,0.25,0
Erdos_Renyi_Alien,0.30,0
Erdos_Renyi_Alien,0.35,0
Erdos_Renyi_Alien,0.40,0
Erdos_Renyi_Alien,0.45,0
Erdos_Renyi_Alien,0.50,0
Erdos_Renyi_Alien,0.55,0
Erdos_Renyi_Alien,0.60,0
Erdos_Renyi_Alien,0.65,0
Erdos_Renyi_Alien,0.70,0
Erdos_Renyi_Alien,0.75,0
Erdos_Renyi_Alien,0.80,0
Erdos_Renyi_Alien,0.85,0
Erdos_Renyi_Alien,0.90,0
