v_plus_e,latency_us
44,76421
64,60170
65,37833
65,40339
34,10438
42,15847
47,19892
58,38184
36,22431
80,83933
56,27906
52,23850
59,31250
57,28695
63,35527
72,46091
52,24379
73,47658
53,25299
43,16730
60,32343
51,22508
34,9798
52,24178
55,45984
49,21262
75,50255
47,19363
52,24096
52,23798
62,33863
52,23707
56,28056
53,25262
55,26387
43,16360
40,14390
46,18737
42,15093
71,45683
31,8610
54,26113
42,15882
38,12738
63,35287
57,29243
62,34392
44,17291
43,16537
57,29191
51,23292
52,24300
67,39973
52,23075
52,24190
46,18921
57,29606
49,20902
51,23542
44,17615
37,12040
64,35965
38,12734
58,29865
30,7859
55,27284
52,24813
49,21869
53,24441
68,41414
57,29011
37,12422
35,10943
57,29421
36,10889
28,7109
57,29123
38,12788
70,43208
32,8908
57,28734
73,46844
33,9832
64,36151
51,24139
56,27652
38,12924
59,31216
35,11060
47,19775
59,31149
52,23570
42,15295
40,14348
56,28241
45,18090
48,20055
68,41285
64,36442
68,41832
45,18204
62,34956
58,30194
46,18950
59,30517
31,8587
59,29851
33,9371
38,12775
45,17530
37,12269
67,38859
62,37469
65,37645
58,30167
38,12935
43,16427
44,17357
64,36165
50,22105
53,24908
58,30184
46,18510
46,18540
41,15336
48,20692
55,27009
40,13828
47,19578
48,32713
50,22732
49,47526
42,31756
53,40207
52,23990
60,30956
44,17690
36,11710
49,21116
55,27485
24,5185
43,16940
51,22971
55,26953
59,31293
61,33018
51,24238
58,30930
55,38124
37,12390
40,17601
54,36586
39,26578
57,30862
42,17363
43,10488
40,5393
52,9009
48,7485
39,4545
43,6224
73,18459
51,8834
49,8302
35,4176
32,3095
52,9199
70,16271
51,8807
67,15174
53,9274
57,10828
68,15492
56,9755
60,11917
59,11340
39,4724
38,4664
40,5132
46,6981
50,8021
64,12477
43,6424
57,10281
44,6582
58,11675
70,16453
35,3563
70,16127
47,7283
27,2417
55,10926
53,9663
51,8180
67,15043
62,12356
49,8005
37,4214
37,4564
46,7022
42,5818
51,8694
39,4930
50,8135
43,6254
41,5284
51,8740
49,8108
43,6621
25,1822
42,5771
54,9995
46,6772
57,10999
43,6147
47,7364
48,7844
49,8034
51,8915
39,4599
46,7040
44,6728
56,10509
48,7837
38,4580
65,14304
43,6041
59,11888
38,4861
53,9331
54,10035
27,2206
55,10068
54,9783
47,7166
46,7001
37,4201
59,11238
52,8682
44,6220
54,9476
34,3819
44,6617
48,8044
48,7647
32,3313
51,8799
26,1538
56,10220
51,8497
49,8756
59,11281
47,7284
68,15234
31,2852
43,5796
49,7947
31,3234
52,9064
45,6846
33,3680
57,9918
51,8802
52,9283
53,9747
52,9182
49,7896
56,10494
44,8677
61,14853
69,16059
42,6057
52,8917
58,11546
43,6081
35,3969
53,9873
47,7054
61,12209
43,6298
31,3101
41,5467
46,6693
49,7845
47,7424
51,8065
47,7506
58,11281
61,12801
49,7995
47,7136
65,13698
57,10378
34,3530
40,5007
77,20170
57,10604
45,6793
60,11850
53,9349
34,3276
62,12417
42,5936
69,16090
44,6147
63,13662
41,5333
41,5156
53,9188
50,8274
46,7032
58,11371
46,6809
52,8743
48,7406
48,7510
35,4195
54,9891
49,8188
65,14339
43,6204
40,5291
66,14786
42,5698
63,13676
58,11328
53,9237
53,9681
42,5583
36,4897
35,7931
34,7920
52,18154
53,19295
57,24214
56,45778
53,25384
46,22780
42,24501
56,28291
47,19582
56,28042
54,26150
49,20455
58,29208
56,26602
38,12728
45,18074
36,10913
56,27922
71,52203
64,37476
51,22480
62,33515
53,25444
54,26226
69,42949
50,22273
38,12553
62,33623
36,11501
49,21410
56,27984
46,18443
70,43915
45,17839
42,15933
61,32283
61,33337
58,29867
52,24583
45,17941
52,24710
43,16233
35,11092
45,17762
64,36353
54,25722
70,43101
59,31008
67,38481
42,15954
57,29383
44,17675
51,22427
61,33181
50,22719
33,9838
50,22259
49,21167
40,14157
46,19026
46,18524
49,21266
42,15854
52,24116
50,22419
53,24498
48,20285
47,19745
40,13851
52,24215
47,19767
48,21023
52,24186
52,23959
47,19399
34,10114
48,20198
48,20756
41,14831
45,17169
60,32724
54,25881
56,27781
41,15477
35,11199
36,11174
53,24940
34,10596
38,12441
57,28876
64,37326
52,23939
56,28473
53,24865
50,22309
38,12793
40,14412
33,9821
59,30573
36,11425
50,22404
55,27044
44,17272
44,17371
53,25311
55,27598
33,9855
50,22621
38,12791
63,34772
66,38265
55,27448
50,22042
47,19964
53,25952
59,31170
67,39988
41,14944
43,16666
53,25379
51,22578
49,20931
54,25951
55,27034
50,24020
42,15570
57,28884
37,12259
53,25856
47,19532
66,39739
57,28270
66,39184
47,19642
72,45765
55,26180
45,18158
63,35472
57,29101
56,27082
53,24952
49,21643
61,33128
43,16238
56,34625
66,39375
45,16937
49,8081
65,14327
53,9420
45,6339
42,5540
50,8016
43,6169
54,9924
56,9837
52,17079
54,10690
61,12637
47,7454
36,4284
40,5404
56,8868
45,9971
44,6586
45,6762
54,9313
52,8270
54,13708
53,9250
51,8372
48,7211
39,4693
36,4148
41,5635
50,7964
57,10526
53,9750
45,6784
43,6126
34,3841
41,5482
42,5348
36,4285
70,16368
61,12129
69,31603
39,4771
51,8359
42,5780
66,25741
56,10689
49,8129
75,17680
43,6129
36,4147
47,6896
62,13220
56,9371
49,14797
48,8460
59,11387
35,4188
57,10805
39,4923
53,9847
60,52145
51,23386
58,35185
61,51469
55,27211
51,24335
50,8409
25,1733
46,7232
39,5186
63,13449
43,6037
53,9462
30,2901
50,8081
55,10110
56,10284
45,6671
53,8546
44,6544
55,9594
57,11097
60,12568
52,8671
58,11143
38,4798
37,4397
66,14055
47,7501
45,7416
54,10363
51,8838
32,3397
41,5476
73,17706
42,5681
66,14209
60,11848
52,8724
63,13557
56,10437
57,11001
45,6842
63,12973
59,11536
60,12312
35,4016
41,5696
51,8580
69,15876
33,3635
54,9613
44,6288
50,7941
29,2502
51,8162
44,7098
55,10122
43,5992
52,8718
42,6120
54,9265
39,4589
44,6180
49,8277
38,4797
47,6983
46,7260
52,9959
68,15042
38,4803
46,6673
34,3817
56,10425
44,6403
44,6652
47,7158
43,6425
63,13303
53,9539
48,7281
61,10909
53,9103
60,11863
55,9738
62,12766
44,6475
46,6879
46,7252
73,17220
42,5916
54,9590
57,11136
66,14698
50,8434
57,10847
56,10285
36,4217
38,4840
56,10475
63,13296
52,9005
61,12264
65,16333
55,9664
53,9558
54,10333
41,5127
50,8261
31,2490
46,7221
52,8665
48,7637
56,10778
55,9976
32,3019
38,4824
46,7226
65,13897
52,9002
43,6214
62,12719
58,11622
44,6640
45,6398
45,6828
42,6034
46,6835
61,12429
51,8454
43,6129
51,8908
41,5597
53,9355
46,6920
53,9198
51,8732
48,7874
48,7373
42,6041
61,12279
44,6618
35,4206
57,17755
55,9902
54,9966
60,12020
60,11989
43,6475
40,5406
37,3994
47,7453
48,7302
48,7927
66,16191
49,8315
52,9527
53,8549
32,2921
34,3076
58,11048
64,12993
55,17719
53,13791
32,4860
60,13498
29,2640
46,7419
53,9883
40,5022
40,5324
38,4620
49,8217
38,4592
48,7468
47,7313
61,12981
51,9312
49,7556
63,13332
56,10590
35,3716
60,12537
73,18010
31,3007
53,9219
71,17949
35,3971
36,3941
46,7072
37,4652
69,16176
64,13541
46,6105
49,8314
33,3612
49,7961
66,16760
44,12502
71,19067
67,12347
32,3037
65,15479
39,6174
52,10533
41,11350
51,14262
61,12579
42,5760
56,23576
43,6749
39,6351
37,4571
48,7623
42,21831
58,11573
53,8853
58,10916
55,8333
64,12191
53,9004
41,5314
49,7681
60,10901
44,6197
45,6398
62,12640
44,6500
49,7956
51,8975
55,10203
45,6272
56,11026
62,13195
59,11671
64,13754
37,4213
49,9438
30,3072
37,4301
49,14508
54,37062
45,20562
57,36286
37,12442
54,25737
61,22358
50,8284
46,7013
50,8102
53,9385
58,11518
52,8575
47,7279
44,6383
52,9252
56,10449
47,7054
55,10525
52,8609
53,9538
76,18628
54,10089
51,8505
58,11071
58,10977
36,4106
62,12760
49,8496
48,7743
48,7381
60,14775
42,7354
46,9774
49,9120
53,9339
36,5991
60,16983
41,7571
61,12928
50,10162
50,9174
30,2679
57,10908
54,9685
52,8622
59,11754
49,8034
40,5118
48,7950
70,16758
47,7539
38,4773
68,15339
48,7212
55,9672
53,9260
41,5276
58,10332
43,5757
34,6068
56,16864
38,6757
42,10057
26,4608
40,10938
54,8950
53,8550
49,8967
51,8929
51,10653
45,7972
67,18114
61,12406
53,9684
55,10252
52,9712
52,9125
54,9640
55,10225
49,7419
43,5959
35,4130
47,7518
58,11436
41,10191
54,18427
43,7833
61,30193
60,32777
62,34690
40,14238
43,16767
44,34215
65,54774
68,50748
46,19115
32,8809
53,13354
28,2374
53,9057
40,5411
50,8590
57,10991
47,7041
37,4557
49,8280
49,8267
43,6238
48,7582
44,5958
53,9270
46,7013
40,5340
34,3804
54,9706
66,14380
58,9722
31,2667
72,16231
50,7123
55,10305
71,15948
48,7992
49,14617
33,4747
29,4090
30,13061
36,6123
37,4996
42,5898
36,3939
48,7713
33,3700
53,10204
43,6328
30,2791
51,8686
50,8133
52,8849
35,4114
55,9275
63,13697
64,15252
39,5701
42,12611
52,33379
54,28334
51,23585
50,22725
34,10247
57,29831
60,32141
58,46802
71,58265
59,31833
68,41216
53,24782
55,27810
35,10935
27,6463
29,7154
48,20799
31,8672
59,31201
47,19708
49,24584
50,22694
53,25525
60,32207
50,22263
64,36556
54,25922
56,28794
51,23589
47,19570
52,23876
65,38011
53,25500
50,22700
51,25238
66,58890
40,15068
36,13257
57,36169
68,49005
51,23533
48,20071
35,11209
40,14361
53,25070
39,13601
59,30993
29,7340
52,23423
58,30695
37,12110
46,18894
82,60243
56,28599
41,14792
41,15022
58,30629
36,11584
54,46045
52,23963
54,25899
41,15354
49,21386
59,30722
59,30578
52,23957
49,21650
51,23154
61,32381
46,18575
40,14439
41,15112
53,24841
48,27413
37,12438
27,6462
51,23021
39,22890
43,32722
45,21835
46,23238
31,8603
42,15323
54,26005
45,17739
63,35474
52,24300
52,23314
36,11617
30,7912
58,30324
59,30384
29,9901
59,29915
55,26896
50,23973
40,13543
59,31300
68,40706
39,13435
50,21080
52,24181
57,27995
32,9437
40,14303
52,23527
66,39347
32,8994
40,14106
29,7438
48,20696
52,23599
56,27916
40,14086
45,17935
60,32075
50,22005
43,16680
52,24183
41,14981
35,10960
74,48982
31,8663
60,32516
63,34503
56,28158
52,24705
42,15800
51,23472
29,7499
44,17597
45,18224
50,28960
72,56165
70,51317
30,7877
62,34921
63,52886
45,23586
61,47138
53,29517
56,29572
38,13085
53,18822
52,15877
42,6660
57,14883
29,8951
49,10815
33,17328
56,10065
60,12029
63,13124
34,3606
58,10768
48,7345
35,3920
38,4532
57,9407
35,4176
51,10036
48,7445
37,4641
46,7208
57,10954
36,4336
43,6184
54,9460
42,6099
61,12199
50,8659
60,11934
53,11803
69,31241
45,8392
46,6875
50,8432
66,14849
51,8839
36,5093
54,10247
50,7689
55,10183
54,9997
60,39030
38,12320
54,27550
35,10868
51,23061
58,30078
49,21959
48,20960
37,13063
42,15933
52,24334
45,18445
70,42316
18,1011
52,11618
25,3746
46,12611
49,11793
58,31985
35,20379
65,38755
46,19562
40,14202
31,8854
59,30863
72,46138
47,19858
52,23958
49,29458
48,24362
48,33017
46,32865
57,39624
52,26604
50,22773
43,16246
40,14635
69,42779
41,14995
42,15979
72,45913
52,23611
74,49510
34,10259
58,30173
50,21816
64,36801
38,20724
47,24037
61,40207
42,16023
59,39229
61,20914
45,13671
61,22772
53,16868
46,13596
58,17354
45,10205
40,11224
39,15975
43,15710
45,17850
45,18010
35,10918
44,17114
31,8510
60,36423
52,24179
33,8416
53,24780
62,33799
54,29891
36,16108
39,13250
55,28487
51,33493
59,41300
44,32019
51,25769
63,61909
64,46771
64,52990
52,24561
41,29822
32,12188
32,8789
52,39396
43,27602
59,41072
40,14201
74,68760
64,45637
49,40230
51,46707
44,18957
53,45130
40,18449
35,25278
42,17363
48,20575
53,39244
59,37575
49,21325
50,22346
45,18183
47,27146
46,41327
42,16025
62,33756
61,33310
54,25667
58,29609
56,28150
49,21715
42,15900
50,22066
53,25078
53,28567
28,13374
40,19301
57,11816
38,4857
36,4155
62,13094
63,17043
46,9540
68,21068
41,9631
51,9760
65,17172
41,5195
58,13357
58,11863
27,2148
68,14949
53,9736
54,9806
53,9263
45,6577
45,6621
43,6150
40,4978
26,2125
52,9138
27,2621
58,13595
40,6207
57,10955
36,4318
59,11969
67,15331
55,9425
52,8914
49,7719
59,11722
67,14907
65,14749
43,5871
52,9249
36,4048
69,15654
49,7941
44,6430
48,7372
67,15109
33,3533
59,14920
37,4928
40,5158
50,8191
38,4199
62,12814
70,16612
61,12616
47,7460
34,5590
51,19516
52,31186
71,46789
49,21076
56,29712
51,28517
45,15726
51,40969
